original_id,consolidated_id,consolidated_name
ABR973358779518,ABR973358779518,Abwasserzweckverband Staufener Bucht
ABR911950811816,ABR911950811816,Abwasserzweckverband Sude-Schaale
ABR940416374770,ABR940416374770,Abwasserzweckverband Südliche Ortenau
ABR934925415307,ABR934925415307,Abwasserzweckverband Thedinghausen/Bruchhausen-Vilsen
ABR973612294955,ABR973612294955,Abwasserzweckverband Thulba - Saale
ABR902418884527,ABR902418884527,Abwasserzweckverband Uelzen
ABR964070969233,ABR964070969233,Abwasserzweckverband Untere Elz
ABR974604244361,ABR974604244361,Abwasserzweckverband Untere Nahe
ABR973885855822,ABR973885855822,Abwasserzweckverband Unteres Glattal
ABR990998723299,ABR990998723299,Abwasserzweckverband Unteres Sulmtal
ABR991648089062,ABR991648089062,Abwasserzweckverband Unterschleißheim/Eching/Neufahrn
ABR961782970199,ABR961782970199,Abwasserzweckverband für die Reinhaltung der Parthe
ABR920143515271,ABR920143515271,Abwasserzweckverband mittleres Schussental
ABR979072543176,ABR979072543176,Achim und Margit Ruf GbR
ABR983850272592,ABR983850272592,Achte Biogas Felgentreu Steinhoff Betriebs GmbH ＆ Co. KG
ABR901736672274,ABR901736672274,Ademes Energie GbR
ABR925715915473,ABR925715915473,Adenauer Wärme
ABR949078897931,ABR949078897931,Adorfer Agrar GmbH
ABR928870403625,ABR928870403625,Adä Bioenergie GmbH
ABR905333875786,ABR905333875786,Aehling Biogas GbR
ABR966246104301,ABR966246104301,Aggerverband
ABR926763017379,ABR926763017379,Agnes und Albert Helm GbR
ABR982477541555,ABR982477541555,Agra GmbH Frohndorf / Orlishausen
ABR902552683499,ABR902552683499,Agrar Bioenergie Bleckede UG (haftungsbeschränkt) ＆ Co. KG
ABR944227702494,ABR944227702494,Agrar Bioenergie GmbH ＆ CO KG
ABR913271991833,ABR913271991833,Agrar Energie Bostel GmbH ＆ Co. KG
ABR912781775353,ABR912781775353,Agrar Energie Gesellschaft Techentin mbH & Co. KG
